,condition_in,intake_type,outcome_detail,outcome_type,breed
883,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
884,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
885,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
886,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
887,Sick,Public Assist,None,Adoption,Cold Water
888,Sick,Public Assist,None,Died,Cold Water
889,Sick,Public Assist,None,Adoption,Cold Water
890,Sick,Public Assist,None,Adoption,Cold Water
891,Sick,Public Assist,None,Adoption,Cold Water
892,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
893,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
894,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
895,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon
896,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
897,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
898,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
899,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
900,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
901,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon
902,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh
903,Normal,Stray,Partner,Transfer,American Mix
904,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
905,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
906,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
907,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
908,Injured,Wildlife,None,Euthanasia,Bat Mix
909,Injured,Wildlife,None,Euthanasia,Bat Mix
910,Normal,Stray,Partner,Transfer,Duck
911,Normal,Stray,Partner,Transfer,Duck
912,Normal,Stray,Partner,Transfer,Duck
913,Normal,Stray,Partner,Transfer,Duck
914,Normal,Stray,Partner,Transfer,Duck
915,Normal,Stray,Partner,Transfer,Duck
916,Normal,Stray,Partner,Transfer,Duck
917,Normal,Stray,Partner,Transfer,Duck
918,Sick,Wildlife,Medical,Euthanasia,Raccoon
919,Injured,Wildlife,None,Euthanasia,Squirrel Mix
920,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
921,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
922,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
923,Normal,Wildlife,None,Euthanasia,Bat Mix
924,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
925,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
926,Normal,Stray,Partner,Transfer,Californian Mix
927,Normal,Stray,Partner,Transfer,Californian Mix
928,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat
929,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat
930,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat
931,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat
932,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
933,Injured,Wildlife,Suffering,Euthanasia,Squirrel
934,Injured,Wildlife,Suffering,Euthanasia,Raccoon
935,Normal,Stray,Foster,Adoption,Ferret Mix
936,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
937,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
938,Injured,Stray,Suffering,Euthanasia,Rabbit Sh Mix
939,Sick,Wildlife,None,Disposal,Raccoon
940,Injured,Wildlife,None,Euthanasia,Opossum
941,Injured,Wildlife,Suffering,Euthanasia,Squirrel
942,Normal,Stray,None,Adoption,Potbelly Pig
943,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
944,Injured,Wildlife,Suffering,Euthanasia,Squirrel
945,Sick,Wildlife,Suffering,Euthanasia,Bat Mix
946,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
947,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
948,Normal,Wildlife,None,Disposal,Bat
949,Sick,Wildlife,Suffering,Euthanasia,Raccoon
950,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
951,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
952,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
953,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
954,Sick,Wildlife,None,Disposal,Skunk
955,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
956,Normal,Stray,Partner,Transfer,Lop-Holland Mix
957,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
958,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh
959,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
960,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
961,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
962,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
963,Normal,Stray,Partner,Transfer,Rabbit Lh Mix
964,Normal,Owner Surrender,Partner,Transfer,Rex Mix
965,Normal,Owner Surrender,Partner,Transfer,Lionhead
966,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
967,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
968,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
969,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
970,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
971,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
972,Injured,Wildlife,None,Euthanasia,Opossum Mix
973,Injured,Wildlife,None,Euthanasia,Bat Mix
974,Injured,Wildlife,None,Euthanasia,Opossum Mix
975,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
976,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
977,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
978,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
979,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
980,Normal,Stray,None,Euthanasia,Bat Mix
981,Normal,Wildlife,None,Disposal,Bat Mix
982,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
983,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
984,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
985,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
986,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
987,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
988,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
989,Injured,Wildlife,Suffering,Euthanasia,Opossum
990,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
991,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
992,Sick,Wildlife,None,Relocate,Opossum
993,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
994,Normal,Stray,Foster,Adoption,Ferret Mix
995,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
996,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
997,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
998,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
999,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1000,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1001,Normal,Wildlife,None,Relocate,Raccoon Mix
1002,Normal,Stray,Partner,Transfer,Snake
1003,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1004,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1005,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1006,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1007,Normal,Stray,In Kennel,Died,Bat Mix
1008,Normal,Stray,Partner,Transfer,Hamster Mix
1009,Normal,Stray,Partner,Transfer,Guinea Pig Mix
1010,Sick,Wildlife,Suffering,Euthanasia,Squirrel Mix
1011,Normal,Wildlife,Suffering,Euthanasia,Raccoon
1012,Normal,Stray,None,Return to Owner,Donkey Mix
1013,Normal,Stray,Partner,Transfer,Sparrow Mix
1014,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1015,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1016,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1017,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1018,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1019,Sick,Wildlife,Suffering,Euthanasia,Raccoon
1020,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1021,Normal,Owner Surrender,Partner,Transfer,Dutch/Rabbit Sh
1022,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
1023,Normal,Stray,Partner,Transfer,Chicken
1024,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
1025,Normal,Stray,Partner,Transfer,Nuthatch Mix
1026,Normal,Wildlife,None,Died,Bat Mix
1027,Injured,Wildlife,None,Relocate,Squirrel
1028,Injured,Wildlife,Suffering,Euthanasia,Raccoon
1029,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1030,Injured,Wildlife,Enroute,Died,Squirrel Mix
1031,Injured,Wildlife,Partner,Transfer,Turtle Mix
1032,Normal,Stray,Partner,Transfer,Snake Mix
1033,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1034,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1035,Injured,Wildlife,None,Euthanasia,Tortoise Mix
1036,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1037,Injured,Wildlife,Suffering,Euthanasia,Opossum
1038,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1039,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1040,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1041,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1042,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1043,Normal,Wildlife,None,Disposal,Bat
1044,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1045,Normal,Wildlife,None,Disposal,Bat
1046,Normal,Wildlife,None,Disposal,Bat
1047,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1048,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1049,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1050,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1051,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1052,Injured,Wildlife,Medical,Euthanasia,Opossum
1053,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1054,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1055,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1056,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1057,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1058,Normal,Stray,Partner,Transfer,Opossum Mix
1059,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1060,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1061,Injured,Wildlife,None,Disposal,Bat Mix
1062,Normal,Wildlife,None,Disposal,Bat Mix
1063,Normal,Wildlife,None,Disposal,Bat Mix
1064,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1065,Normal,Stray,Partner,Transfer,Lizard Mix
1066,Normal,Wildlife,None,Disposal,Bat Mix
1067,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1068,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1069,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1070,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1071,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1072,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1073,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1074,Injured,Stray,Suffering,Euthanasia,Rabbit Sh Mix
1075,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1076,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1077,Normal,Stray,Partner,Transfer,Quaker Mix
1078,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1079,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1080,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1081,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1082,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1083,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1084,Normal,Stray,None,Return to Owner,Ferret Mix
1085,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1086,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1087,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1088,Normal,Wildlife,None,Disposal,Bat
1089,Normal,Wildlife,Partner,Transfer,Dove Mix
1090,Injured,Wildlife,Suffering,Euthanasia,Skunk
1091,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1092,Normal,Wildlife,None,Disposal,Bat
1093,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1094,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1095,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1096,Normal,Wildlife,None,Disposal,Bat
1097,Normal,Wildlife,None,Disposal,Bat
1098,Normal,Wildlife,In Kennel,Died,Bat
1099,Injured,Wildlife,None,Relocate,Squirrel
1100,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1101,Injured,Wildlife,Medical,Euthanasia,Armadillo Mix
1102,Normal,Wildlife,None,Disposal,Bat Mix
1103,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1104,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1105,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1106,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1107,Normal,Public Assist,None,Return to Owner,Pygmy
1108,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1109,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk
1110,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk
1111,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1112,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1113,Injured,Owner Surrender,Partner,Transfer,Guinea Pig
1114,Normal,Wildlife,None,Euthanasia,Bat Mix
1115,Normal,Wildlife,None,Euthanasia,Bat Mix
1116,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1117,Sick,Wildlife,Suffering,Euthanasia,Raccoon
1118,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
1119,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1120,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1121,Normal,Wildlife,None,Disposal,Bat Mix
1122,Normal,Wildlife,None,Disposal,Bat Mix
1123,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1124,Normal,Wildlife,None,Disposal,Bat Mix
1125,Normal,Wildlife,None,Disposal,Bat Mix
1126,Normal,Wildlife,None,Disposal,Bat Mix
1127,Normal,Wildlife,None,Disposal,Bat Mix
1128,Normal,Wildlife,None,Disposal,Bat Mix
1129,Normal,Wildlife,None,Disposal,Bat Mix
1130,Normal,Wildlife,None,Disposal,Bat Mix
1131,Normal,Wildlife,None,Disposal,Bat Mix
1132,Normal,Wildlife,None,Disposal,Bat Mix
1133,Normal,Wildlife,None,Disposal,Bat Mix
1134,Normal,Wildlife,None,Disposal,Bat Mix
1135,Normal,Wildlife,None,Disposal,Bat Mix
1136,Normal,Wildlife,None,Disposal,Bat Mix
1137,Normal,Wildlife,None,Disposal,Bat Mix
1138,Normal,Wildlife,None,Disposal,Bat Mix
1139,Normal,Wildlife,None,Disposal,Bat Mix
1140,Normal,Wildlife,None,Disposal,Bat Mix
1141,Normal,Wildlife,None,Disposal,Bat Mix
1142,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1143,Normal,Wildlife,None,Disposal,Bat Mix
1144,Normal,Wildlife,None,Disposal,Bat Mix
1145,Normal,Wildlife,None,Disposal,Bat Mix
1146,Normal,Wildlife,None,Disposal,Bat Mix
1147,Normal,Wildlife,None,Disposal,Bat Mix
1148,Normal,Wildlife,None,Disposal,Bat Mix
1149,Normal,Wildlife,None,Disposal,Bat Mix
1150,Normal,Wildlife,None,Disposal,Bat Mix
1151,Normal,Wildlife,None,Disposal,Bat Mix
1152,Normal,Wildlife,None,Disposal,Bat Mix
1153,Normal,Wildlife,None,Disposal,Bat Mix
1154,Normal,Wildlife,None,Disposal,Bat Mix
1155,Normal,Wildlife,None,Disposal,Bat Mix
1156,Normal,Owner Surrender,Partner,Transfer,Parrot Mix
1157,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1158,Normal,Owner Surrender,Partner,Transfer,Silkie Mix
1159,Normal,Wildlife,None,Disposal,Bat
1160,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1161,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1162,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1163,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1164,Normal,Wildlife,None,Disposal,Bat
1165,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1166,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1167,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1168,Normal,Wildlife,None,Disposal,Bat
1169,Normal,Wildlife,None,Disposal,Bat
1170,Normal,Wildlife,None,Disposal,Bat
1171,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1172,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1173,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1174,Sick,Wildlife,None,Disposal,Bat Mix
1175,Sick,Wildlife,Suffering,Euthanasia,Raccoon
1176,Normal,Wildlife,None,Disposal,Bat
1177,Normal,Wildlife,None,Euthanasia,Bat
1178,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum
1179,Sick,Stray,Partner,Transfer,Rabbit Sh
1180,Normal,Stray,Partner,Transfer,Guinea Pig
1181,Normal,Stray,None,Adoption,Cockatiel
1182,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1183,Normal,Wildlife,None,Euthanasia,Bat
1184,Normal,Owner Surrender,Partner,Transfer,American Sable
1185,Sick,Wildlife,None,Disposal,Skunk Mix
1186,Sick,Wildlife,Medical,Euthanasia,Raccoon
1187,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1188,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1189,Sick,Wildlife,None,Disposal,Raccoon
1190,Normal,Stray,Suffering,Euthanasia,Dove Mix
1191,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1192,Sick,Wildlife,None,Disposal,Bat Mix
1193,Normal,Wildlife,None,Relocate,Opossum
1194,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1195,Normal,Wildlife,None,Relocate,Raccoon Mix
1196,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1197,Sick,Wildlife,None,Disposal,Raccoon Mix
1198,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1199,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1200,Normal,Stray,Partner,Transfer,Rabbit Sh
1201,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1202,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1203,Sick,Wildlife,None,Disposal,Raccoon
1204,Normal,Wildlife,None,Disposal,Bat
1205,Sick,Wildlife,Suffering,Euthanasia,Opossum Mix
1206,Injured,Wildlife,None,Disposal,Bat Mix
1207,Normal,Wildlife,None,Euthanasia,Bat
1208,Normal,Wildlife,None,Euthanasia,Bat
1209,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1210,Normal,Public Assist,Partner,Transfer,Chicken Mix
1211,Normal,Public Assist,Partner,Transfer,Chicken Mix
1212,Normal,Public Assist,Suffering,Euthanasia,Chicken Mix
1213,Injured,Stray,Suffering,Euthanasia,Chicken Mix
1214,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1215,Sick,Wildlife,None,Disposal,Bat Mix
1216,Normal,Wildlife,None,Disposal,Bat Mix
1217,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1218,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1219,Injured,Stray,Medical,Euthanasia,Rabbit Sh Mix
1220,Sick,Wildlife,Medical,Euthanasia,Raccoon
1221,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1222,Normal,Stray,Partner,Transfer,Cockatiel Mix
1223,Normal,Stray,Partner,Transfer,Bantam Mix
1224,Normal,Stray,Partner,Transfer,Bantam Mix
1225,Normal,Stray,Partner,Transfer,Bantam Mix
1226,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1227,Normal,Owner Surrender,Partner,Transfer,Ferret Mix
1228,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1229,Injured,Euthanasia Request,None,Euthanasia,Rat Mix
1230,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1231,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1232,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1233,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1234,Normal,Wildlife,None,Disposal,Bat Mix
1235,Sick,Euthanasia Request,Medical,Euthanasia,Ferret
1236,Normal,Stray,Partner,Transfer,Rabbit Sh
1237,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1238,Normal,Wildlife,None,Disposal,Bat
1239,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1240,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1241,Injured,Stray,Rabies Risk,Euthanasia,Opossum Mix
1242,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1243,Normal,Owner Surrender,Partner,Transfer,Rex Mix
1244,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1245,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1246,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1247,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1248,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1249,Sick,Wildlife,In Kennel,Died,Bat Mix
1250,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1251,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1252,Sick,Stray,Suffering,Euthanasia,Opossum Mix
1253,Normal,Wildlife,Suffering,Euthanasia,Bat Mix
1254,Normal,Wildlife,Suffering,Euthanasia,Bat Mix
1255,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1256,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1257,Normal,Wildlife,None,Disposal,Bat Mix
1258,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1259,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1260,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1261,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1262,Normal,Wildlife,None,Euthanasia,Bat Mix
1263,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1264,Normal,Wildlife,None,Euthanasia,Bat Mix
1265,Normal,Wildlife,None,Euthanasia,Bat Mix
1266,Sick,Wildlife,None,Disposal,Bat Mix
1267,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1268,Normal,Stray,Partner,Transfer,Rex Mix
1269,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1270,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1271,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1272,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1273,Injured,Stray,Medical,Euthanasia,Californian Mix
1274,Normal,Wildlife,None,Euthanasia,Bat
1275,Normal,Stray,Partner,Transfer,Californian Mix
1276,Normal,Wildlife,None,Euthanasia,Bat Mix
1277,Normal,Wildlife,None,Euthanasia,Bat Mix
1278,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1279,Sick,Wildlife,None,Died,Bat Mix
1280,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1281,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1282,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1283,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1284,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1285,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1286,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1287,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1288,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1289,Injured,Wildlife,Suffering,Euthanasia,Opossum
1290,Normal,Public Assist,Partner,Transfer,Guinea Pig Mix
1291,Sick,Wildlife,None,Euthanasia,Bat Mix
1292,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1293,Normal,Wildlife,None,Euthanasia,Bat Mix
1294,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1295,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1296,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1297,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1298,Normal,Stray,None,Adoption,Ferret Mix
1299,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1300,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1301,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1302,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1303,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1304,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1305,Normal,Stray,Partner,Transfer,Lionhead Mix
1306,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1307,Normal,Wildlife,None,Euthanasia,Bat
1308,Normal,Wildlife,None,Euthanasia,Bat Mix
1309,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1310,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1311,Sick,Wildlife,Suffering,Euthanasia,Opossum
1312,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1313,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1314,Normal,Stray,Partner,Transfer,Chicken Mix
1315,Sick,Wildlife,None,Died,Bat Mix
1316,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1317,Normal,Stray,Partner,Transfer,Guinea Pig
1318,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1319,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
1320,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1321,Sick,Wildlife,Rabies Risk,Euthanasia,Fox
1322,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1323,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1324,Normal,Stray,Partner,Transfer,New Zealand Wht Mix
1325,Normal,Wildlife,None,Euthanasia,Bat
1326,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1327,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1328,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1329,Injured,Public Assist,Rabies Risk,Euthanasia,Bat
1330,Injured,Public Assist,Rabies Risk,Euthanasia,Bat
1331,Injured,Public Assist,Rabies Risk,Euthanasia,Bat
1332,Normal,Wildlife,Suffering,Euthanasia,Skunk Mix
1333,Injured,Stray,Partner,Transfer,Rabbit Sh
